iter	Passed	Remaining
0	54	10828
1	67	6678
2	74	4870
3	80	3941
4	86	3376
5	92	3002
6	99	2731
7	108	2599
8	116	2465
9	122	2324
10	128	2207
11	134	2110
12	140	2028
13	147	1955
14	153	1895
15	159	1837
16	166	1787
17	172	1742
18	178	1704
19	188	1696
20	195	1668
21	202	1635
22	208	1606
23	215	1577
24	221	1551
25	228	1528
26	234	1503
27	240	1479
28	247	1458
29	253	1438
30	260	1419
31	266	1399
32	272	1381
33	279	1364
34	285	1346
35	291	1329
36	297	1312
37	303	1295
38	309	1279
39	316	1264
40	322	1250
41	328	1235
42	334	1221
43	340	1208
44	346	1194
45	352	1181
46	359	1168
47	367	1163
48	382	1179
49	388	1166
50	395	1154
51	401	1142
52	407	1129
53	413	1118
54	419	1106
55	426	1097
56	433	1087
57	439	1075
58	445	1064
59	452	1054
60	458	1044
61	464	1033
62	470	1023
63	476	1013
64	482	1003
65	489	993
66	495	984
67	502	974
68	508	964
69	514	955
70	520	946
71	527	937
72	533	928
73	539	919
74	546	910
75	552	901
76	558	892
77	564	883
78	571	875
79	577	866
80	583	857
81	590	849
82	596	840
83	602	832
84	610	825
85	616	816
86	623	809
87	629	801
88	637	795
89	644	788
90	651	780
91	657	771
92	664	764
93	670	756
94	676	747
95	682	739
96	688	731
97	695	723
98	701	716
99	707	707
100	714	700
101	720	692
102	726	684
103	734	677
104	742	671
105	748	663
106	754	655
107	761	648
108	767	640
109	773	633
110	780	625
111	786	617
112	792	610
113	799	602
114	810	598
115	819	593
116	825	585
117	832	578
118	838	570
119	844	563
120	851	555
121	857	548
122	864	541
123	870	533
124	877	526
125	883	519
126	890	511
127	896	504
128	903	497
129	909	489
130	916	482
131	922	475
132	928	467
133	934	460
134	940	452
135	947	445
136	953	438
137	959	431
138	965	423
139	972	416
140	979	410
141	985	402
142	992	395
143	998	388
144	1004	381
145	1011	373
146	1017	366
147	1023	359
148	1030	352
149	1036	345
150	1042	338
151	1048	331
152	1055	324
153	1061	317
154	1067	310
155	1075	303
156	1081	296
157	1087	289
158	1096	282
159	1102	275
160	1108	268
161	1114	261
162	1120	254
163	1127	247
164	1133	240
165	1139	233
166	1145	226
167	1152	219
168	1158	212
169	1166	205
170	1182	200
171	1197	194
172	1212	189
173	1226	183
174	1232	176
175	1238	168
176	1244	161
177	1250	154
178	1257	147
179	1263	140
180	1269	133
181	1275	126
182	1281	119
183	1288	112
184	1294	104
185	1301	97
186	1307	90
187	1313	83
188	1319	76
189	1326	69
190	1332	62
191	1338	55
192	1345	48
193	1351	41
194	1358	34
195	1365	27
196	1371	20
197	1377	13
198	1383	6
199	1389	0
