,Movie Name,Year of Release,mes_sin,mes_cos,Run Time in minutes,budget_x,orig_lang,media_elenco,media_direcao,mediana_elenco,mediana_direcao,Drama,Mystery,Action,Family,Documentary,Crime,Romance,War,Comedy,Fantasy,Adventure,Thriller,Science Fiction,Western,History,Horror,Animation,Music,TV Movie,receita_corrigida,categoria_lucro
11,Inception,2010,-0.4999999999999997,-0.8660254037844388,148,160000000.0, English,7.711403508771932,8.266666666666667,7.9,8.266666666666667,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,280067960.59113306,Lucro alto
16,Spider-Man: Across the Spider-Verse,2023,1.2246467991473532e-16,-1.0,140,264940000.0, English,7.849722222222222,8.466666666666667,8.325,8.7,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,-99633334.66666666,Prejuízo
17,Interstellar,2014,-0.5000000000000004,0.8660254037844384,169,165000000.0, English,7.7495192307692315,8.266666666666667,8.299999999999999,8.266666666666667,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,300051338.50931674,Lucro alto
20,Oppenheimer,2023,-0.4999999999999997,-0.8660254037844388,180,100000000.0, English,7.85313725490196,8.266666666666667,7.9,8.266666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-79633611.1111111,Prejuízo
36,Parasite,2019,1.2246467991473532e-16,-1.0,132,11363000.0, Korean,8.336111111111112,7.633333333333333,8.5,7.633333333333333,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,215990154.38596493,Lucro alto
39,Whiplash,2014,-0.8660254037844386,0.5000000000000001,106,3300000.0, English,7.935949074074074,7.725,8.5,7.725,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22250927.329192545,Lucro médio
43,Django Unchained,2012,0.49999999999999994,0.8660254037844387,165,100000000.0, English,7.787247150997151,8.15,8.5,8.15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,193282633.14917126,Lucro alto
53,The Intouchables,2011,0.49999999999999994,-0.8660254037844387,112,13000000.0, French,8.011904761904763,7.6,8.5,7.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,215410682.2916667,Lucro alto
60,Joker,2019,-0.8660254037844386,0.5000000000000001,122,55000000.0, English,7.565895061728394,6.859999999999999,7.4,6.859999999999999,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,889580335.9649124,Lucro alto
61,The Dark Knight Rises,2012,-0.4999999999999997,-0.8660254037844388,164,230000000.0, English,7.386313131313132,8.266666666666667,7.048484848484849,8.266666666666667,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,470844258.0110497,Lucro alto
