ano_lancamento,mes_seno,mes_cos,duracao,orcamento,media_elenco,media_direcao,mediana_elenco,mediana_direcao,Drama,Mystery,Action,Family,Documentary,Crime,Romance,War,Comedy,Fantasy,Adventure,Thriller,Science Fiction,Western,History,Horror,Animation,Music,TV Movie,categoria_lucro
2010,-0.4999999999999997,-0.8660254037844388,148,160000000.0,7.711403508771932,8.266666666666667,7.9,8.266666666666667,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Lucro alto
2023,1.2246467991473532e-16,-1.0,140,264940000.0,7.849722222222222,8.466666666666667,8.325,8.7,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,Prejuízo
2014,-0.5000000000000004,0.8660254037844384,169,165000000.0,7.7495192307692315,8.266666666666667,8.299999999999999,8.266666666666667,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Lucro alto
2023,-0.4999999999999997,-0.8660254037844388,180,100000000.0,7.85313725490196,8.266666666666667,7.9,8.266666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Prejuízo
2019,1.2246467991473532e-16,-1.0,132,11363000.0,8.336111111111112,7.633333333333333,8.5,7.633333333333333,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Lucro alto
2014,-0.8660254037844386,0.5000000000000001,106,3300000.0,7.935949074074074,7.725,8.5,7.725,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Lucro médio
2012,0.49999999999999994,0.8660254037844387,165,100000000.0,7.787247150997151,8.15,8.5,8.15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Lucro alto
2011,0.49999999999999994,-0.8660254037844387,112,13000000.0,8.011904761904763,7.6,8.5,7.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Lucro alto
2019,-0.8660254037844386,0.5000000000000001,122,55000000.0,7.565895061728394,6.859999999999999,7.4,6.859999999999999,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Lucro alto
2012,-0.4999999999999997,-0.8660254037844388,164,230000000.0,7.386313131313132,8.266666666666667,7.048484848484849,8.266666666666667,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Lucro alto
2019,0.8660254037844387,-0.4999999999999998,181,400000000.0,7.370768552435219,7.583333333333333,7.472777777777778,7.583333333333333,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Lucro alto
2018,-2.4492935982947064e-16,1.0,117,90000000.0,7.843518518518518,8.0,8.4,8.4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,Lucro alto
